date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-01,72.93,62.85,59.2,66.69,41.59,54.55,61.97,77.8,66.36,74.1,57.15,70.11,66.54,66.02,58.95,62.01,64.03,51.72,54.59,61.71,68.1,60.26,55.26,75.38,65.74,56.19,63.78,52.43,58.75,64.11,56.9,78.57,66.03,67.85,65.08,52.09,50.79,70.6,61.74,75.12,69.17,67.89,55.43,55.01,77.38,70.19,46.08,50.13,61.95,49.18
1975-04-01,71.71,64.25,61.04,60.74,42.74,54.36,62.53,89.42,84.11,72.0,54.84,64.25,62.22,60.86,63.92,62.33,66.06,55.89,88.65,62.48,65.99,62.28,55.28,71.87,73.12,55.77,63.15,44.0,71.15,59.72,58.72,75.67,67.08,59.79,64.74,52.86,51.3,69.49,65.97,70.25,71.37,68.32,58.46,57.2,76.97,66.7,47.07,63.59,62.83,47.91
1975-07-01,74.09,77.4,59.2,65.52,44.24,54.69,61.56,116.11,67.37,74.43,56.04,64.14,64.08,63.62,63.42,63.68,66.94,52.94,69.44,65.17,67.47,63.17,58.26,72.78,65.56,59.15,61.18,45.11,61.57,60.09,59.39,77.6,68.49,65.6,64.34,52.26,54.06,73.87,65.44,72.22,64.58,67.41,56.31,55.32,67.09,67.61,49.31,67.04,64.32,50.32
1975-10-01,70.58,68.91,55.61,62.9,45.79,55.09,61.9,75.43,68.46,73.87,57.37,61.73,66.63,63.45,65.98,64.7,68.81,55.57,71.57,66.61,70.42,62.2,59.94,73.04,65.13,57.87,68.07,53.52,45.24,62.82,55.79,79.94,70.44,63.62,65.77,53.21,53.03,71.61,66.99,69.58,61.26,70.77,59.49,60.1,72.79,67.78,47.91,68.02,68.97,53.84
1976-01-01,76.94,71.8,58.09,66.71,47.74,55.01,65.0,80.63,68.43,71.22,54.14,65.86,67.72,62.11,67.57,66.78,69.4,58.9,57.43,67.1,67.96,62.73,61.93,73.92,66.86,59.47,67.28,49.91,72.26,62.27,59.84,73.37,69.66,74.67,66.38,54.57,57.16,72.65,65.66,70.47,62.94,69.68,59.11,61.42,117.12,69.23,50.26,62.41,65.67,54.23
1976-04-01,76.43,72.22,62.87,68.89,50.21,59.85,63.77,86.59,76.45,73.17,56.64,71.52,70.19,65.48,70.16,67.69,68.71,59.09,70.32,69.63,69.2,64.13,62.76,75.28,77.24,65.65,67.39,56.06,55.71,63.83,61.61,75.01,69.8,72.7,68.66,60.58,56.84,76.51,68.71,77.6,64.12,68.41,63.73,61.14,57.56,68.69,53.42,67.36,65.44,55.43
1976-07-01,77.01,75.96,60.8,71.63,53.53,59.89,66.94,80.72,69.38,79.24,54.95,69.34,73.52,65.37,74.09,68.79,69.2,58.44,84.32,70.5,69.36,64.36,63.06,72.07,69.77,63.43,67.75,60.33,66.86,66.09,63.49,75.6,70.45,71.98,71.11,59.26,59.84,77.33,71.06,76.52,71.15,70.89,63.41,64.73,81.2,70.55,56.35,69.05,67.66,58.5
1976-10-01,79.62,75.64,60.86,72.38,55.47,62.01,68.05,84.6,70.96,78.49,56.36,68.89,73.21,68.39,71.39,70.64,69.69,61.72,69.02,71.78,70.5,65.76,64.26,80.83,69.25,64.81,70.56,74.18,69.09,62.12,65.67,74.15,70.58,73.41,72.4,61.97,63.47,75.35,69.9,75.84,66.44,71.59,63.23,64.31,79.57,72.05,57.61,66.24,68.39,63.11
1977-01-01,81.21,79.53,63.15,73.61,57.95,64.72,63.79,88.59,71.56,76.7,56.74,71.69,80.45,70.82,76.04,72.81,70.01,62.75,78.01,72.07,72.84,67.19,66.64,75.17,70.95,66.04,72.16,56.05,64.5,65.27,69.89,77.83,75.03,82.18,73.2,63.91,67.13,74.38,69.54,75.46,62.13,75.2,66.11,69.09,114.76,73.11,59.6,68.66,72.69,63.22
1977-04-01,83.5,77.71,63.77,75.45,62.95,65.65,68.3,78.06,79.49,76.2,59.32,72.33,83.56,71.48,78.3,76.25,73.62,65.22,81.19,73.42,70.09,68.11,68.75,77.84,81.15,71.42,74.52,63.42,67.31,65.83,70.14,82.93,73.91,86.41,75.11,63.76,69.11,80.25,72.63,79.49,70.08,77.43,71.22,70.79,82.34,74.97,62.72,84.4,76.04,64.73
1977-07-01,88.04,79.62,65.83,78.81,67.91,69.08,71.33,81.46,72.76,78.9,61.42,78.44,83.45,73.76,80.22,77.75,76.88,62.65,81.6,76.65,73.86,71.21,73.06,78.42,77.7,76.12,78.4,70.94,71.09,67.52,73.16,82.36,76.72,79.8,78.76,67.83,74.04,80.74,75.19,81.4,78.34,77.7,69.42,74.72,76.29,77.53,67.28,74.52,78.09,67.29
1977-10-01,89.25,81.4,69.61,81.52,70.61,73.17,72.19,83.22,75.25,78.56,62.49,82.47,88.93,78.36,83.62,80.46,78.62,68.42,87.85,77.26,73.95,72.64,74.91,86.91,80.08,79.94,79.68,76.7,76.1,69.41,75.83,84.78,81.23,77.65,81.09,69.52,78.19,83.59,77.07,82.6,81.39,79.35,73.32,74.85,77.02,79.05,70.66,86.56,80.86,71.32
1978-01-01,88.36,80.79,70.79,81.64,73.18,76.17,73.23,83.16,78.88,84.26,64.67,89.4,90.62,81.21,86.0,82.74,81.42,73.43,82.94,81.92,78.82,75.54,76.48,86.66,82.98,88.9,78.94,73.88,76.8,71.29,77.0,83.38,82.88,87.96,83.17,71.95,80.09,83.89,79.85,82.23,76.93,84.82,76.5,81.84,90.82,80.35,74.31,85.11,84.53,73.44
1978-04-01,88.49,86.65,73.62,83.61,75.95,80.04,79.42,91.24,83.79,81.56,65.51,88.36,97.89,84.37,90.29,84.93,84.09,73.43,92.35,83.49,79.96,79.54,81.99,87.94,92.84,89.56,85.86,82.81,71.96,73.28,78.02,87.78,83.05,82.41,86.25,77.77,84.73,87.27,82.17,86.83,83.87,83.55,78.92,83.82,92.06,83.53,79.51,80.55,87.61,76.67
1978-07-01,96.25,89.54,78.68,86.4,78.55,84.28,86.89,85.78,83.51,85.35,67.16,90.2,99.58,86.91,91.18,88.76,88.79,77.73,90.82,85.77,85.35,82.93,85.56,93.2,90.14,89.61,86.6,87.77,83.8,76.27,81.1,83.87,86.67,90.61,88.9,81.58,88.2,86.1,84.02,88.4,86.09,87.06,81.56,86.94,99.58,86.25,83.8,84.09,90.66,78.64
1978-10-01,96.3,88.6,82.81,86.18,81.62,87.92,88.21,83.67,85.14,86.27,74.96,90.65,101.93,89.38,95.65,90.71,91.56,81.9,94.3,88.47,87.85,86.72,87.6,91.1,90.97,91.32,86.78,89.37,86.22,79.45,84.05,84.12,87.29,86.68,91.29,84.16,91.98,87.77,88.63,89.9,85.22,90.08,85.6,89.99,87.52,89.34,86.67,85.45,92.5,82.32
1979-01-01,99.61,90.28,87.5,92.58,84.83,91.96,95.24,87.35,89.88,87.84,73.83,97.41,97.28,93.58,96.5,92.52,95.75,88.01,106.25,91.3,91.61,91.6,91.74,98.63,95.75,94.73,92.73,95.46,89.07,84.87,89.11,96.16,90.35,97.19,95.54,88.16,95.69,92.01,90.53,93.84,88.71,91.62,88.77,94.42,94.55,89.59,88.6,83.9,96.64,87.2
1979-04-01,100.31,101.97,92.32,95.83,88.59,94.82,97.49,87.41,92.5,90.95,81.9,93.49,101.95,96.21,99.44,94.49,97.94,92.18,104.79,94.68,94.25,95.95,94.8,100.99,102.87,99.57,94.24,101.08,93.18,87.17,91.85,95.7,91.91,98.91,98.34,90.56,96.28,96.61,92.19,95.96,91.62,91.86,92.18,97.16,88.03,91.66,93.8,90.02,99.82,92.51
1979-07-01,101.93,97.37,94.6,100.49,93.07,97.82,100.3,94.81,93.9,92.09,89.19,97.99,100.67,97.88,102.39,96.96,97.0,95.31,98.26,96.83,97.92,99.02,97.22,106.84,98.59,96.89,97.88,90.67,96.96,91.8,93.86,94.71,96.12,97.33,99.16,93.4,98.35,95.87,93.36,97.66,99.19,96.69,94.89,98.02,95.54,94.61,95.77,89.88,99.4,97.45
1979-10-01,108.47,96.69,98.91,101.99,96.35,99.65,101.53,96.79,98.09,95.78,92.99,99.96,99.88,97.66,101.9,98.34,99.5,97.43,107.06,98.04,98.67,99.54,98.78,93.08,100.72,103.68,97.75,97.99,94.73,94.41,95.76,98.32,96.37,99.95,100.74,95.8,100.06,98.66,100.53,100.27,90.67,96.31,96.8,99.4,108.99,95.69,98.03,95.64,99.53,96.55
1980-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1980-04-01,103.36,83.62,98.62,101.67,102.88,102.62,101.49,108.09,99.97,100.39,101.09,99.28,100.61,98.53,100.84,101.68,101.27,99.48,102.63,103.11,104.39,101.95,102.05,97.75,111.09,92.52,103.37,102.15,97.5,101.58,97.76,107.03,98.21,107.6,99.6,98.71,98.76,95.99,102.96,103.78,107.04,100.19,104.75,97.58,101.0,101.04,100.36,102.62,100.93,97.19
1980-07-01,109.95,73.67,106.68,107.0,106.55,107.18,103.69,110.31,106.22,102.11,101.48,104.49,102.36,101.95,101.45,102.6,101.25,101.34,110.0,104.95,108.91,102.81,106.71,104.49,105.24,107.67,101.79,105.76,102.95,100.86,99.05,114.78,101.3,99.88,101.98,103.77,105.27,101.36,102.66,109.38,101.16,99.66,104.34,104.3,104.67,104.4,103.26,103.54,105.08,101.8
1980-10-01,109.03,94.48,107.33,108.95,108.41,106.82,104.91,107.48,109.09,102.89,108.08,99.91,99.8,101.06,97.69,104.43,104.89,102.77,106.58,107.67,109.31,101.77,104.71,103.52,105.55,100.97,105.83,102.7,98.24,103.86,105.03,111.23,102.61,93.8,103.39,101.71,101.97,101.28,99.7,105.68,97.27,100.05,106.15,103.81,110.33,104.15,102.05,116.34,101.57,95.04
1981-01-01,105.66,89.68,108.36,110.03,110.58,106.94,103.73,109.48,111.19,107.41,102.34,109.6,101.73,103.89,94.72,98.58,107.88,106.56,126.35,110.7,113.18,103.13,100.72,96.39,103.43,95.28,103.28,109.4,98.65,104.29,101.11,112.33,105.61,102.66,103.14,102.58,97.4,101.49,95.03,112.43,92.24,97.14,105.43,105.42,110.47,106.08,99.94,100.37,102.72,102.83
1981-04-01,109.16,109.52,111.35,107.24,113.08,108.67,109.91,103.9,112.92,107.98,98.33,100.44,107.13,102.51,93.14,103.91,106.0,108.49,114.53,112.89,119.37,103.39,100.68,115.21,103.67,101.67,102.99,117.1,100.65,105.77,111.19,108.62,106.2,97.06,103.66,106.13,98.55,103.56,106.23,115.4,98.56,106.39,111.94,109.69,108.42,105.4,104.79,95.65,102.92,109.6
1981-07-01,113.0,117.2,116.98,110.81,116.52,114.92,113.75,116.73,108.96,108.61,85.92,99.79,106.78,104.92,88.17,102.96,103.41,111.31,109.42,110.77,121.99,106.18,104.5,108.0,103.1,113.11,100.83,118.11,99.66,107.57,114.15,115.64,105.89,116.46,103.2,111.32,95.74,104.12,103.7,117.85,104.04,108.6,115.52,108.79,101.72,106.17,105.68,111.71,103.02,110.52
1981-10-01,107.04,130.11,110.12,102.88,117.77,114.91,112.06,106.53,114.59,112.49,49.9,118.09,107.93,107.18,102.72,105.64,104.17,113.27,116.43,114.51,122.29,105.36,107.06,93.9,102.2,99.85,100.4,113.79,108.19,107.65,118.06,115.29,104.39,109.66,101.63,113.18,89.83,101.05,100.31,115.68,86.88,106.43,120.39,112.2,62.99,109.34,105.97,109.85,91.29,109.44
1982-01-01,109.09,138.0,106.35,103.57,115.29,119.79,111.09,101.98,119.08,113.5,113.7,99.57,103.97,104.09,93.67,105.33,106.88,114.19,108.76,115.67,124.1,104.65,108.06,103.33,103.24,104.79,106.41,120.06,106.39,111.06,121.33,129.69,107.01,99.02,101.08,115.93,99.94,105.42,103.05,119.14,68.83,106.43,124.19,106.05,122.36,108.02,105.98,,86.7,111.54
1982-04-01,107.99,131.17,111.84,106.49,116.4,121.64,111.48,118.68,120.47,115.42,103.4,109.42,103.37,103.99,96.94,104.46,106.81,115.66,135.42,111.83,125.2,99.66,107.36,105.8,101.71,114.97,107.08,120.61,100.2,112.2,125.12,133.67,109.38,84.1,98.31,118.74,93.9,107.85,103.55,118.38,109.83,105.84,124.95,109.42,117.06,107.92,103.54,114.73,96.22,108.92
1982-07-01,107.67,142.0,108.22,111.27,117.01,123.28,110.52,113.29,122.63,114.19,100.79,103.46,99.26,101.8,90.24,105.44,105.13,115.32,110.1,114.93,127.29,98.09,107.0,109.75,103.74,99.51,109.14,121.11,109.1,111.41,130.06,124.91,109.4,72.74,101.97,119.65,96.0,104.94,103.91,120.53,107.51,106.27,124.0,111.69,107.57,104.26,99.54,84.73,98.65,108.87
1982-10-01,115.42,141.58,109.61,109.11,116.93,126.91,112.46,116.92,122.95,116.42,86.76,111.24,101.08,104.21,94.45,105.56,107.2,115.46,114.28,111.89,128.46,88.02,109.36,108.62,104.16,112.79,108.83,123.31,106.24,109.31,124.21,128.85,111.79,88.26,103.28,122.61,102.43,105.6,108.46,120.73,119.03,107.45,126.93,114.72,114.01,113.33,105.62,86.13,99.52,112.68
1983-01-01,114.77,139.98,119.29,113.56,117.76,126.74,118.57,117.21,123.31,117.69,102.29,109.86,101.99,105.97,97.94,106.21,108.78,116.26,115.39,113.9,130.83,96.77,113.21,112.89,105.59,98.53,109.27,120.15,108.61,110.14,130.75,129.04,112.8,99.35,102.68,123.57,98.73,108.47,110.12,123.56,93.69,110.76,127.39,114.52,117.78,115.43,106.86,99.13,103.73,111.14
1983-04-01,114.17,140.92,119.39,117.13,117.71,125.65,120.84,119.57,125.28,118.45,106.3,105.3,104.92,106.0,99.18,109.09,109.94,117.27,120.58,115.61,136.75,97.08,113.4,113.14,108.13,103.82,109.18,117.59,112.34,113.87,122.43,132.84,111.27,106.63,105.39,125.54,100.22,110.19,111.94,121.15,121.47,110.99,127.23,115.38,112.61,118.37,105.85,93.0,106.18,105.87
1983-07-01,117.08,147.7,115.37,118.65,117.49,127.18,122.35,122.89,125.24,121.01,112.28,105.3,105.93,105.57,99.14,106.75,110.08,115.86,125.75,116.78,143.85,97.26,112.73,111.01,111.61,109.92,111.35,119.76,115.94,117.7,123.48,138.43,113.85,90.33,106.12,126.61,99.27,112.51,119.15,124.2,100.1,112.38,126.97,111.56,118.14,118.72,104.31,93.37,105.86,103.43
1983-10-01,113.84,147.31,113.39,119.08,117.94,122.07,125.83,128.42,125.45,120.78,106.21,107.07,107.11,104.91,98.52,107.85,109.46,116.63,133.1,118.32,148.93,95.12,110.35,115.19,112.68,114.14,111.95,115.55,117.7,120.86,125.71,147.12,115.28,109.41,105.62,125.89,98.81,113.44,121.11,120.6,99.03,113.54,127.32,113.09,123.45,118.65,104.96,92.53,105.98,99.09
1984-01-01,123.75,151.25,117.38,120.85,119.74,126.77,130.86,125.58,126.48,124.45,109.18,108.63,107.86,104.97,98.81,108.05,112.87,116.78,133.04,119.08,157.21,97.54,114.04,118.71,113.25,122.97,110.29,119.81,122.42,124.03,124.65,150.76,117.9,118.35,106.03,122.08,98.49,113.46,119.53,127.01,113.63,110.84,126.19,112.06,121.96,121.57,107.17,98.52,106.11,100.52
1984-04-01,120.22,149.28,122.01,119.02,120.33,125.98,134.34,129.18,127.48,126.64,113.78,107.44,110.54,107.53,100.72,108.35,110.82,117.34,139.68,122.87,165.5,97.17,113.75,115.66,115.27,119.8,112.84,118.6,127.75,130.2,121.92,156.58,122.2,112.83,107.2,121.98,97.62,116.52,121.17,125.87,109.73,116.6,127.39,113.97,123.54,123.29,107.83,94.07,107.96,95.92
1984-07-01,125.0,155.64,122.79,119.87,121.81,126.26,139.95,132.37,128.79,124.72,110.62,109.23,111.21,106.43,99.31,107.77,112.83,115.88,142.88,124.38,175.36,97.33,115.64,113.18,118.96,115.07,112.22,113.55,133.29,135.06,126.35,162.24,121.61,114.71,107.24,119.5,96.2,118.32,127.09,123.21,117.9,110.46,129.75,114.59,126.18,124.99,109.32,95.04,107.93,98.65
1984-10-01,121.52,153.82,122.13,121.41,122.88,124.23,141.62,134.25,127.05,129.18,109.3,112.07,112.8,108.61,101.08,107.96,113.0,114.67,141.12,124.71,181.49,97.51,115.8,114.43,118.94,110.93,111.87,117.24,137.38,138.36,127.65,169.34,124.85,109.01,107.45,119.41,99.66,119.18,128.94,127.54,107.03,119.16,129.26,112.08,126.9,124.57,110.19,87.28,106.32,96.1
1985-01-01,121.53,146.04,125.12,121.88,124.64,127.0,148.17,137.13,128.54,131.69,115.08,107.38,113.58,109.4,101.51,108.94,114.51,111.68,146.57,126.84,191.2,99.74,116.97,120.48,120.22,115.52,111.37,117.72,141.76,142.33,126.24,176.36,127.63,109.72,108.12,118.59,97.92,120.63,131.75,130.92,110.75,121.08,127.91,116.59,129.57,127.5,110.72,92.65,107.89,97.54
1985-04-01,124.67,146.46,125.36,120.32,126.45,126.14,155.19,141.17,128.98,129.03,113.31,112.98,115.0,110.94,101.53,109.46,115.61,113.24,151.36,128.63,205.63,100.81,118.35,122.47,123.63,109.77,113.0,117.93,152.02,148.66,126.37,184.61,130.05,110.31,109.32,116.81,97.82,123.87,137.93,131.13,108.98,122.07,128.89,115.94,134.62,129.72,111.0,96.2,109.68,95.39
1985-07-01,127.55,146.45,127.23,124.4,129.27,127.12,159.71,143.99,128.83,135.08,117.13,113.75,116.35,111.55,103.14,110.14,114.95,113.3,157.08,130.94,218.71,102.71,115.77,123.08,125.46,115.6,113.04,118.72,159.79,155.1,128.46,191.39,132.87,113.12,110.61,116.92,97.02,126.25,142.2,132.0,112.95,124.34,128.93,116.35,136.19,131.52,111.67,93.5,110.65,94.13
1985-10-01,128.51,143.07,128.74,124.84,130.67,124.83,168.38,146.36,130.61,137.81,117.95,111.53,118.32,113.23,102.13,110.87,117.19,110.81,165.59,131.16,233.07,103.82,120.01,123.24,126.52,117.89,114.14,118.97,169.87,161.95,128.55,198.86,134.68,108.91,111.49,113.59,97.18,127.98,151.04,132.29,112.93,125.85,127.78,115.32,139.14,132.33,112.13,88.92,110.77,94.35
1986-01-01,129.45,143.82,131.2,126.12,132.34,129.34,174.19,151.86,131.98,140.08,120.24,113.49,120.07,114.53,103.32,113.04,118.81,113.74,168.21,133.81,242.46,105.45,121.38,124.35,127.48,117.01,115.43,121.51,178.07,168.04,130.32,206.86,135.89,113.25,112.99,115.74,97.97,130.97,155.12,135.53,116.89,128.59,130.6,119.17,144.27,134.64,113.6,96.62,112.31,97.54
1986-04-01,131.91,146.2,135.18,129.04,134.89,130.1,185.06,155.18,135.45,141.91,120.26,112.09,122.74,116.5,103.88,113.49,120.9,114.46,173.95,137.67,254.54,108.83,120.68,125.99,129.41,114.15,115.61,124.43,186.43,178.17,133.04,217.26,138.45,112.45,114.49,116.85,98.69,134.65,162.74,136.56,117.98,130.61,132.73,118.85,146.59,137.07,114.2,96.88,113.57,98.04
1986-07-01,133.69,141.57,135.22,126.99,137.81,129.21,198.99,159.96,136.31,143.64,121.27,113.06,125.45,118.29,104.32,114.52,121.09,111.81,181.19,141.12,266.96,112.09,124.2,124.52,131.89,114.86,115.73,124.45,195.22,189.35,132.24,227.11,140.91,111.74,116.34,112.68,99.55,139.24,174.0,138.4,114.3,132.73,130.03,118.07,152.31,140.06,114.72,96.25,113.94,95.04
1986-10-01,136.02,138.24,133.14,128.73,141.15,128.52,212.25,165.54,136.47,146.03,124.08,113.73,128.38,119.73,104.05,115.12,123.7,110.75,190.16,144.85,279.68,114.58,124.04,125.09,134.06,115.19,116.98,124.16,206.23,199.26,133.28,237.3,142.74,109.45,117.88,111.17,97.82,143.92,190.2,140.54,117.0,134.61,127.63,117.98,158.48,142.44,115.93,98.95,114.36,90.91
1987-01-01,138.13,134.79,137.61,129.76,144.77,130.18,224.48,171.87,137.22,148.42,128.1,114.9,130.85,121.5,105.46,115.95,125.21,110.85,197.33,149.0,289.23,117.52,126.82,126.46,135.89,110.16,117.5,126.81,211.56,210.27,134.85,246.67,145.41,113.39,120.1,111.07,99.99,148.63,203.71,143.28,120.85,138.09,127.98,119.3,163.65,145.55,117.03,97.87,115.27,93.36
1987-04-01,139.01,125.24,136.49,131.28,148.3,128.7,236.85,175.94,139.26,150.08,131.14,112.78,135.53,122.93,105.37,117.73,126.57,110.4,205.03,153.28,296.41,121.46,129.02,126.33,138.85,112.61,116.87,126.15,220.51,221.4,133.73,255.36,146.98,110.57,122.54,107.97,100.37,154.63,215.41,144.69,118.43,140.6,124.13,118.08,168.56,149.49,117.94,99.52,116.59,88.3
1987-07-01,139.71,116.93,135.66,128.05,152.98,125.99,249.29,183.52,139.41,151.73,133.18,109.31,138.66,124.47,105.57,117.35,129.27,104.97,214.85,160.1,305.55,124.08,130.2,124.6,140.22,110.78,115.41,125.36,222.78,230.1,132.23,267.03,149.35,110.75,124.97,102.36,99.44,162.23,231.69,144.76,117.62,140.87,119.27,113.63,172.71,156.67,118.71,97.12,118.04,83.13
1987-10-01,138.25,106.02,133.34,124.5,157.31,124.82,257.11,188.47,140.38,152.54,135.87,109.11,140.61,124.84,102.39,116.6,129.48,104.76,222.51,162.44,307.88,126.12,129.23,123.74,140.83,104.51,116.11,124.86,226.85,235.29,131.2,270.85,150.4,110.39,126.2,99.97,98.75,167.77,241.15,145.43,119.15,142.94,115.69,112.83,182.36,160.24,119.43,98.02,119.36,79.25
1988-01-01,142.13,122.27,134.6,127.03,163.05,125.69,262.78,191.02,141.84,154.57,144.55,112.32,143.56,127.59,104.6,117.31,131.87,102.06,226.59,167.85,310.97,127.93,131.65,122.33,140.85,108.71,117.17,126.03,226.33,240.4,130.89,277.24,151.43,107.81,128.33,97.76,100.79,171.27,249.48,147.9,115.38,144.05,115.67,112.68,186.76,164.93,121.69,97.63,120.25,81.25
1988-04-01,143.18,116.29,135.98,127.8,169.8,125.49,266.99,196.6,144.77,156.5,151.85,112.77,148.14,129.26,106.34,118.18,133.1,102.4,230.94,173.83,316.52,131.18,133.58,124.48,142.87,110.31,117.8,126.99,229.16,246.61,130.32,280.8,153.92,109.13,131.07,98.54,101.43,178.36,252.54,150.09,115.59,144.58,117.52,113.95,194.79,170.47,123.55,100.95,122.17,76.7
1988-07-01,142.69,127.52,133.89,127.36,177.88,124.27,265.43,202.0,145.95,156.89,156.02,110.32,151.45,129.91,108.45,117.24,135.24,101.22,237.53,179.54,315.32,133.32,133.38,122.48,144.0,113.57,118.43,128.55,229.13,247.27,131.54,282.8,155.29,109.7,132.23,96.73,105.06,183.03,255.17,151.22,118.59,144.62,114.75,112.25,201.3,174.46,126.12,98.56,124.39,81.54
1988-10-01,141.45,133.16,134.41,126.68,187.65,123.59,265.5,207.61,147.13,156.68,166.97,110.66,152.86,131.19,108.06,119.04,136.51,99.91,239.16,183.66,317.65,134.5,134.22,124.58,143.76,112.46,118.31,130.19,228.78,246.52,129.94,283.63,156.03,105.0,133.47,97.42,105.66,184.73,257.36,151.69,117.44,144.31,113.77,112.3,203.09,177.92,127.55,98.54,125.02,81.49
1989-01-01,141.64,129.52,132.8,127.75,196.4,123.83,261.22,210.55,148.29,157.84,179.06,113.97,155.77,132.32,109.97,117.94,138.11,100.65,240.17,188.3,314.91,136.57,134.65,119.68,143.63,110.65,119.41,130.68,229.36,245.91,130.58,283.41,156.58,108.91,135.05,97.91,107.94,186.99,259.55,154.15,120.7,145.27,114.02,113.31,206.76,181.18,132.0,100.17,127.27,77.54
1989-04-01,143.39,105.14,132.61,127.35,206.12,124.89,261.21,217.37,149.3,158.3,183.99,114.52,158.86,134.11,111.14,119.99,139.19,100.57,242.6,193.07,312.84,139.39,136.51,123.75,145.28,111.72,120.53,132.61,225.88,245.5,131.14,282.89,157.4,108.2,136.43,99.51,110.49,188.39,260.74,154.26,117.13,146.24,114.95,113.44,212.19,185.02,137.63,102.01,128.73,84.12
1989-07-01,145.7,104.98,134.65,128.57,217.97,127.34,261.85,222.77,151.71,160.3,197.07,116.5,162.39,136.46,113.2,119.62,142.0,102.43,245.51,196.53,317.58,142.67,138.46,126.05,146.12,114.13,121.74,136.04,229.86,246.74,133.29,285.78,160.14,110.67,139.33,100.96,113.8,192.49,266.62,157.78,121.96,146.8,117.24,115.64,215.75,187.59,144.21,102.04,130.97,83.62
1989-10-01,146.75,102.92,133.65,127.6,224.85,126.91,260.83,224.35,152.91,161.51,203.56,116.93,164.36,136.88,114.2,120.23,142.71,102.28,247.7,199.73,318.28,143.24,139.19,125.04,146.72,115.52,122.74,137.95,230.13,247.48,135.16,286.64,160.57,111.6,140.32,100.19,116.67,194.94,267.73,158.12,119.13,147.05,116.86,115.49,217.73,189.02,152.75,102.22,131.7,83.94
1990-01-01,145.59,99.39,133.54,128.15,227.61,127.33,257.02,227.49,153.61,160.98,218.45,119.21,166.11,137.84,115.71,120.0,143.2,101.75,244.82,202.18,314.2,145.42,139.35,126.87,146.94,113.95,123.54,140.66,225.42,244.46,132.59,286.62,160.94,111.24,141.86,100.04,120.87,195.15,264.83,159.77,120.18,147.42,116.48,116.54,215.67,188.96,163.83,102.53,133.78,88.18
1990-04-01,146.81,113.11,132.77,128.38,228.38,128.24,249.16,226.55,153.08,159.57,231.41,123.71,168.0,139.15,117.18,119.58,144.4,102.74,240.17,202.87,305.22,147.68,139.31,124.71,146.77,116.36,125.62,142.67,216.0,239.25,133.26,283.33,161.35,110.86,143.18,101.12,126.95,195.51,260.28,161.18,125.45,147.22,117.42,118.04,216.88,189.25,173.05,102.99,135.84,85.62
