,n_guests,guest_number,count,probability_last_sim,mean_number_passes_sim,probability_last_theory,mean_number_passes_theory,mean_number_passes_pct_error,probability_last_pct_error
0,2,1,1000000,1.0,1.0,1.0,1.0,0.0,0.0
1,3,1,499223,0.499223,3.0014782972739638,0.5,3.0,-0.0004927657579878453,0.0015540000000000553
2,3,2,500777,0.500777,3.0009824732365904,0.5,3.0,-0.0003274910788635399,-0.0015540000000000553
3,4,1,333158,0.333158,5.673872456912336,0.3333333333333333,5.666666666666666,-0.0012716100433534105,0.0005259999999999154
4,4,2,333710,0.33371,6.674735548829823,0.3333333333333333,6.666666666666666,-0.0012103323244734288,-0.0011300000000000754
5,4,3,333132,0.333132,5.667903413661851,0.3333333333333333,5.666666666666666,-0.00021824946973847403,0.0006040000000000489
6,5,1,250165,0.250165,9.008774209022045,0.25,9.0,-0.0009749121135604888,-0.000660000000000105
7,5,2,250116,0.250116,10.98527483247773,0.25,11.0,0.0013386515929336706,-0.00046400000000001995
8,5,3,249482,0.249482,10.996043802759317,0.25,11.0,0.0003596542946074921,0.0020719999999999628
9,5,4,250237,0.250237,8.993430228143719,0.25,9.0,0.0007299746506979066,-0.0009479999999999489
10,6,1,200532,0.200532,12.988899527257495,0.2,12.999999999999998,0.0008538825186541477,-0.0026599999999998847
11,6,2,200316,0.200316,15.965993729906748,0.2,15.999999999999998,0.0021253918808281647,-0.0015799999999999148
12,6,3,199332,0.199332,17.011026829610902,0.2,16.999999999999996,-0.0006486370359355398,0.0033400000000000096
13,6,4,199305,0.199305,16.016848548706754,0.2,15.999999999999998,-0.0010530342941723614,0.003475000000000006
14,6,5,200515,0.200515,12.978545245991572,0.2,12.999999999999998,0.0016503656929558463,-0.002574999999999994
15,7,1,166990,0.16699,17.699700580873106,0.16666666666666666,17.666666666666664,-0.0018698442003646232,-0.0019400000000000528
16,7,2,166795,0.166795,21.645163224317276,0.16666666666666666,21.666666666666664,0.0009924665699717616,-0.0007700000000001594
17,7,3,166626,0.166626,23.633640608308426,0.16666666666666666,23.66666666666666,0.0013954672545732905,0.00024400000000002198
18,7,4,166419,0.166419,23.62923103732146,0.16666666666666666,23.666666666666664,0.0015817871554311136,0.0014859999999998763
19,7,5,166634,0.166634,21.64450832363143,0.16666666666666666,21.666666666666664,0.0010226927554722876,0.00019599999999997397
20,7,6,166536,0.166536,17.672773454388242,0.16666666666666666,17.666666666666664,-0.0003456672295232277,0.0007840000000000069
21,8,1,142483,0.142483,23.051936020437527,0.14285714285714282,23.0,-0.002258087845109946,0.002618999999999816
22,8,2,143238,0.143238,28.008642957874308,0.14285714285714282,28.0,-0.00030867706693959995,-0.0026660000000002793
23,8,3,143127,0.143127,30.941939675952128,0.1428571428571428,30.999999999999996,0.0018729136789634726,-0.0018890000000004736
24,8,4,142329,0.142329,31.946377758573448,0.1428571428571428,32.0,0.0016756950445797614,0.0036969999999995062
25,8,5,142957,0.142957,30.987646635002132,0.1428571428571428,31.0,0.00039849564509253366,-0.0006990000000004493
26,8,6,142919,0.142919,27.965728839412535,0.14285714285714282,28.0,0.0012239700209809579,-0.00043300000000012773
27,8,7,142947,0.142947,22.933164039818955,0.14285714285714282,23.0,0.0029059113122194002,-0.0006290000000002127
28,9,1,125162,0.125162,28.99603713587191,0.12499999999999994,29.0,0.00013665048717559358,-0.001296000000000408
29,9,2,125186,0.125186,35.066980333264105,0.12499999999999994,35.0,-0.0019137238075459528,-0.001488000000000378
30,9,3,124902,0.124902,39.037109093529324,0.125,38.99999999999999,-0.0009515152187007381,0.0007840000000000069
31,9,4,124732,0.124732,40.926458326652345,0.12499999999999994,41.00000000000001,0.001793699349943001,0.0021439999999995907
32,9,5,125869,0.125869,40.970119727653355,0.12499999999999994,41.00000000000001,0.0007287871304061388,-0.006952000000000513
33,9,6,124599,0.124599,38.997969486111444,0.125,39.00000000000001,5.2064458681111425e-05,0.0032079999999999886
34,9,7,124873,0.124873,35.03089538971595,0.12499999999999994,35.0,-0.0008827254204557544,0.0010159999999995728
35,9,8,124677,0.124677,28.882279811031704,0.12499999999999994,29.0,0.004059316860975715,0.0025839999999995866
36,10,1,111474,0.111474,35.63487449988338,0.11111111111111104,35.666666666666664,0.000891369162148159,-0.0032660000000006573
37,10,2,110952,0.110952,42.69161439180907,0.11111111111111104,42.66666666666667,-0.0005847123080249261,0.0014319999999993227
38,10,3,110867,0.110867,47.58589120297293,0.11111111111111104,47.66666666666666,0.0016945901474207936,0.0021969999999993384
39,10,4,111667,0.111667,50.69157405500282,0.11111111111111108,50.66666666666666,-0.0004915931908453519,-0.005003000000000313
40,10,5,110764,0.110764,51.67467769311329,0.11111111111111108,51.66666666666667,-0.00015505212477329167,0.0031239999999996826
41,10,6,111186,0.111186,50.62820858741208,0.11111111111111108,50.66666666666666,0.0007590410379192392,-0.0006740000000002855
42,10,7,111482,0.111482,47.66547065894046,0.11111111111111104,47.66666666666667,2.5091071179317304e-05,-0.0033380000000007293
43,10,8,110701,0.110701,42.63480908031544,0.11111111111111104,42.66666666666667,0.0007466621801068829,0.0036909999999993337
44,10,9,110907,0.110907,35.591648858953896,0.11111111111111104,35.666666666666664,0.002103303019984182,0.0018369999999993114
45,11,1,100020,0.10002,42.94152169566087,0.09999999999999996,42.99999999999999,0.0013599605660261638,-0.00020000000000042206
46,11,2,100382,0.100382,50.90100814887131,0.09999999999999996,51.0,0.0019410166887977587,-0.0038200000000003786
47,11,3,100632,0.100632,57.10621869782972,0.09999999999999994,56.99999999999999,-0.0018634859268373827,-0.006320000000000547
48,11,4,99669,0.099669,60.880454303745395,0.09999999999999996,61.00000000000001,0.001959765512370648,0.003309999999999702
49,11,5,99845,0.099845,63.07902248485152,0.09999999999999996,63.0,-0.0012543251563732483,0.0015499999999996072
50,11,6,99762,0.099762,62.8363304665103,0.09999999999999996,63.0,0.002597929103011154,0.0023799999999996047
51,11,7,99714,0.099714,61.00224642477485,0.09999999999999996,61.0,-3.68266356534086e-05,0.0028599999999996406
52,11,8,99849,0.099849,56.98937395467156,0.09999999999999994,57.0,0.0001864218478674351,0.0015099999999994562
53,11,9,100430,0.10043,50.87107438016529,0.09999999999999996,51.0,0.0025279533300923696,-0.004300000000000415
54,11,10,99697,0.099697,43.02137476553958,0.09999999999999996,42.99999999999999,-0.0004970875706882261,0.003029999999999755
55,12,1,91013,0.091013,50.92675771593069,0.09090909090909087,51.00000000000001,0.0014361232170454485,-0.0011430000000003382
56,12,2,90990,0.09099,59.9186943620178,0.09090909090909087,60.0,0.0013550939663699024,-0.0008900000000005015
57,12,3,91229,0.091229,66.78715101557619,0.09090909090909087,66.99999999999999,0.003176850513788021,-0.003519000000000494
58,12,4,90839,0.090839,72.1754973084248,0.09090909090909087,72.0,-0.0024374626170109437,0.0007709999999995221
59,12,5,90616,0.090616,74.87187693122627,0.09090909090909086,75.0,0.0017083075836498152,0.0032239999999994495
60,12,6,90843,0.090843,75.96314520656517,0.09090909090909087,75.99999999999999,0.0004849314925633452,0.0007269999999997001
61,12,7,91028,0.091028,75.06384848618008,0.09090909090909086,75.0,-0.0008513131490677228,-0.001308000000000531
62,12,8,90883,0.090883,71.92033713675825,0.09090909090909087,72.0,0.0011064286561354164,0.0002869999999994821
63,12,9,90861,0.090861,67.19420873642157,0.09090909090909087,67.00000000000003,-0.0028986378570379223,0.0005289999999995576
64,12,10,90677,0.090677,59.895210472335876,0.09090909090909087,60.0,0.0017464921277353662,0.0025529999999996944
65,12,11,91021,0.091021,50.94886894233199,0.09090909090909087,51.00000000000001,0.0010025697581963477,-0.0012310000000004262
66,13,1,83471,0.083471,59.65458662289897,0.08333333333333329,59.66666666666666,0.0002024588340953093,-0.001652000000000653
67,13,2,83271,0.083271,69.46074863998271,0.08333333333333329,69.66666666666666,0.0029557611485734325,0.0007479999999995268
68,13,3,83692,0.083692,77.6746522965158,0.08333333333333329,77.66666666666667,-0.00010281926844379896,-0.00430400000000053
69,13,4,82900,0.0829,83.72895054282267,0.08333333333333329,83.66666666666667,-0.0007444287986773102,0.005199999999999427
70,13,5,83231,0.083231,87.55288294025063,0.08333333333333329,87.66666666666669,0.0012979132290805717,0.0012279999999994518
71,13,6,83561,0.083561,89.42462392743026,0.08333333333333329,89.66666666666666,0.0026993614041234126,-0.002732000000000623
72,13,7,83132,0.083132,89.58361401145167,0.08333333333333329,89.66666666666666,0.0009262377905017161,0.0024159999999995296
73,13,8,83198,0.083198,88.02235630664198,0.08333333333333329,87.66666666666666,-0.0040572962734828355,0.0016239999999995147
74,13,9,83570,0.08357,83.4757089864784,0.08333333333333329,83.66666666666666,0.002282362711413466,-0.00284000000000062
75,13,10,83511,0.083511,77.42445905329836,0.08333333333333329,77.66666666666666,0.0031185529618235064,-0.002132000000000689
76,13,11,83067,0.083067,69.8634355399858,0.08333333333333329,69.66666666666666,-0.002824433588312969,0.0031959999999994215
77,13,12,83396,0.083396,59.56289270468608,0.08333333333333329,59.66666666666666,0.0017392284130823832,-0.00075200000000053
78,14,1,77440,0.07744,69.01172520661157,0.07692307692307687,69.0,-0.00016993053060243568,-0.006720000000000503
79,14,2,76792,0.076792,79.87292947181999,0.07692307692307687,80.0,0.0015883816022501662,0.0017039999999993727
80,14,3,76542,0.076542,89.09176661179484,0.07692307692307687,88.99999999999999,-0.0010310855257849028,0.004953999999999348
81,14,4,77102,0.077102,96.0671059116495,0.07692307692307687,96.0,-0.000699019913015686,-0.0023260000000007164
82,14,5,77129,0.077129,100.80495014845259,0.07692307692307687,101.0,0.0019311866489842844,-0.0026770000000007066
83,14,6,76637,0.076637,103.80696008455446,0.0769230769230769,104.0,0.0018561530331301368,0.0037189999999996948
84,14,7,76702,0.076702,104.93476050168184,0.07692307692307689,105.0,0.0006213285554110826,0.002873999999999488
85,14,8,76594,0.076594,103.973940517534,0.0769230769230769,104.0,0.0002505719467884582,0.004277999999999782
86,14,9,77464,0.077464,100.89744913766394,0.07692307692307687,101.0,0.001015355072634283,-0.007032000000000815
87,14,10,76976,0.076976,96.17010496778217,0.07692307692307687,96.0,-0.0017719267477309675,-0.0006880000000006881
88,14,11,76765,0.076765,88.65744805575457,0.07692307692307687,89.0,0.003848898249948607,0.002054999999999363
89,14,12,77250,0.07725,79.74348220064725,0.07692307692307687,80.00000000000003,0.003206472491909751,-0.004250000000000753
90,14,13,76607,0.076607,68.91428981685746,0.07692307692307687,69.0,0.0012421765672832041,0.004108999999999363
91,15,1,71531,0.071531,78.9092281668088,0.07142857142857137,79.0,0.0011490105467240053,-0.0014340000000008235
92,15,2,71729,0.071729,90.99266684325725,0.07142857142857137,91.0,8.058414003020431e-05,-0.00420600000000082
93,15,3,71508,0.071508,100.79212116126867,0.07142857142857137,101.0,0.002058206324072609,-0.00111200000000089
94,15,4,71262,0.071262,109.12275827229098,0.07142857142857137,109.0,-0.0011262226815687004,0.0023319999999991126
95,15,5,71490,0.07149,114.92979437683591,0.07142857142857137,115.0,0.0006104836796877455,-0.000860000000000749
96,15,6,71556,0.071556,118.82679300128571,0.07142857142857137,119.0,0.0014555209975990469,-0.001784000000000674
97,15,7,71229,0.071229,120.72504176669615,0.07142857142857137,121.0,0.0022723820934202887,0.002793999999999186
98,15,8,71148,0.071148,121.02163096643616,0.07142857142857137,121.0,-0.00017876831765417656,0.003927999999999154
99,15,9,71186,0.071186,118.7728064507066,0.07142857142857137,119.00000000000004,0.001909189489860852,0.0033959999999991775
100,15,10,71437,0.071437,115.07497515293196,0.07142857142857137,115.00000000000004,-0.0006519578515817859,-0.00011800000000095068
101,15,11,71501,0.071501,108.97641991021105,0.07142857142857137,109.00000000000004,0.00021633109898155922,-0.0010140000000007365
102,15,12,71518,0.071518,100.51353505411225,0.07142857142857137,101.00000000000004,0.004816484612750416,-0.001252000000000919
103,15,13,71557,0.071557,91.10822141789063,0.07142857142857137,91.00000000000004,-0.0011892463504461492,-0.0017980000000008545
104,15,14,71348,0.071348,79.05223692324942,0.07142857142857137,79.0,-0.000661226876574883,0.0011279999999992407
105,16,1,66628,0.066628,89.44467791318965,0.06666666666666662,89.66666666666669,0.0024757110053200693,0.0005799999999992478
106,16,2,66749,0.066749,102.57531948044165,0.06666666666666662,102.66666666666666,0.0008897453203734473,-0.0012350000000007633
107,16,3,66973,0.066973,113.63007480626521,0.06666666666666661,113.66666666666669,0.0003219225255260971,-0.004595000000001015
108,16,4,66617,0.066617,122.81825960340454,0.06666666666666662,122.66666666666666,-0.0012358119842761361,0.0007449999999994406
109,16,5,66543,0.066543,129.56321476338607,0.06666666666666662,129.66666666666669,0.0007978295882823394,0.001854999999999274
110,16,6,66556,0.066556,134.98933229160406,0.06666666666666662,134.66666666666669,-0.002396031868346915,0.0016599999999993287
111,16,7,66749,0.066749,137.64564263135028,0.06666666666666662,137.66666666666669,0.0001527169635573422,-0.0012350000000007633
112,16,8,66675,0.066675,138.35254593175853,0.06666666666666661,138.66666666666666,0.002265293761356757,-0.0001250000000008189
113,16,9,66584,0.066584,137.9158356361889,0.06666666666666662,137.66666666666669,-0.0018099440885390727,0.0012399999999993527
114,16,10,65904,0.065904,134.700018208303,0.06666666666666662,134.66666666666669,-0.0002476599626457521,0.01143999999999934
115,16,11,66728,0.066728,129.43675818247212,0.06666666666666662,129.66666666666666,0.0017730731428884372,-0.000920000000000476
116,16,12,66882,0.066882,122.59995215454083,0.06666666666666662,122.66666666666669,0.0005438683053737847,-0.0032300000000005102
117,16,13,66782,0.066782,113.94088227366656,0.06666666666666661,113.66666666666666,-0.002412454020527033,-0.0017300000000006754
118,16,14,66847,0.066847,102.49620775801458,0.06666666666666662,102.66666666666666,0.0016603140453124166,-0.0027050000000006236
119,16,15,66783,0.066783,89.43843493104532,0.06666666666666662,89.66666666666669,0.002545335341502253,-0.0017450000000005517
120,17,1,62672,0.062672,100.8107767424049,0.06249999999999994,101.0,0.0018734975999514791,-0.002752000000001198
121,17,2,62863,0.062863,115.11313491242862,0.06249999999999994,115.0,-0.0009837818472053783,-0.005808000000001146
122,17,3,62641,0.062641,126.52780128031162,0.06249999999999994,127.0,0.0037181001550266046,-0.002256000000001146
123,17,4,62487,0.062487,137.0666698673324,0.06249999999999994,137.00000000000006,-0.00048664136738940655,0.00020799999999898677
124,17,5,62415,0.062415,144.79802931987504,0.06249999999999994,145.0,0.001392901242241118,0.0013599999999990287
125,17,6,62216,0.062216,151.21190690497622,0.06249999999999994,151.0,-0.0014033569865974371,0.004543999999998993
126,17,7,62803,0.062803,154.72393038549114,0.06249999999999994,155.0,0.0017810942871538948,-0.004848000000001074
127,17,8,62444,0.062444,157.74975978476715,0.06249999999999994,157.0,-0.004775540030363956,0.0008959999999990087
128,17,9,62546,0.062546,157.01242285677742,0.06249999999999994,157.00000000000003,-7.91264762891597e-05,-0.0007360000000011802
129,17,10,62193,0.062193,154.8633125914492,0.06249999999999994,155.0,0.0008818542487148973,0.004911999999999028
130,17,11,62586,0.062586,150.70862493209344,0.06249999999999994,151.0,0.0019296362113017107,-0.001376000000001154
131,17,12,62188,0.062188,145.26746317617545,0.06249999999999994,145.00000000000003,-0.0018445736287959758,0.004991999999998997
132,17,13,62556,0.062556,137.02901400345291,0.06249999999999994,137.0,-0.00021178104710162238,-0.0008960000000011181
133,17,14,62688,0.062688,126.71425153139357,0.06249999999999994,127.0,0.0022499879417828827,-0.00300800000000101
134,17,15,62404,0.062404,114.84068328953272,0.06249999999999994,115.0,0.0013853626997154533,0.0015359999999989826
135,17,16,62298,0.062298,100.58818902693505,0.06249999999999994,101.0,0.0040773363669796,0.0032319999999990134
136,18,1,58882,0.058882,112.8565605787847,0.05882352941176465,113.0,0.001269375408984974,-0.0009940000000008276
137,18,2,59162,0.059162,127.69108549406714,0.05882352941176465,128.0,0.0024133945776004806,-0.005754000000000925
138,18,3,58651,0.058651,140.87713764471195,0.058823529411764636,141.0,0.0008713642219010387,0.002932999999998742
139,18,4,58821,0.058821,151.83648696893965,0.058823529411764636,152.0,0.0010757436253969743,4.2999999998794e-05
140,18,5,58856,0.058856,160.53863667255675,0.05882352941176465,161.00000000000003,0.002865610729461343,-0.0005520000000009961
141,18,6,59079,0.059079,168.3594509047208,0.05882352941176465,168.00000000000003,-0.002139588718576002,-0.004343000000000874
142,18,7,58600,0.0586,173.25757679180887,0.058823529411764636,173.00000000000009,-0.0014888831896462396,0.0037999999999988043
143,18,8,59002,0.059002,175.7477373648351,0.058823529411764636,176.00000000000009,0.0014333104270737307,-0.0030340000000010914
144,18,9,58973,0.058973,176.56322384820172,0.058823529411764636,177.00000000000009,0.0024676618745670398,-0.0025410000000012367
145,18,10,59120,0.05912,176.4215155615697,0.058823529411764636,176.0,-0.0023949747816460754,-0.005040000000001266
146,18,11,58881,0.058881,173.28528727433297,0.058823529411764636,173.0,-0.0016490593892080074,-0.000977000000001338
147,18,12,58602,0.058602,167.97317497696324,0.05882352941176465,168.00000000000003,0.00015967275617134735,0.003765999999999048
148,18,13,58961,0.058961,160.4998388765455,0.05882352941176465,161.0,0.00310659082890985,-0.0023370000000009217
149,18,14,58027,0.058027,151.95608940665554,0.058823529411764636,152.00000000000003,0.00028888548252958834,0.013540999999998804
150,18,15,58598,0.058598,140.38458650465887,0.058823529411764636,141.00000000000003,0.004364634718731608,0.003833999999998894
151,18,16,58869,0.058869,127.82027892439145,0.05882352941176465,128.0,0.0014040709031918341,-0.0007730000000010229
152,18,17,58916,0.058916,113.1274017244891,0.05882352941176465,113.0,-0.0011274488892840662,-0.001572000000001017
153,19,1,55452,0.055452,125.15712688451273,0.05555555555555548,125.66666666666669,0.0040546932266892766,0.0018639999999986445
154,19,2,55681,0.055681,142.29446310231498,0.05555555555555548,141.66666666666669,-0.004431504251634966,-0.0022580000000014255
155,19,3,55365,0.055365,155.2098076402059,0.05555555555555548,155.66666666666666,0.0029348545597051023,0.003429999999998712
156,19,4,55163,0.055163,167.64169823976215,0.05555555555555548,167.66666666666669,0.00014891705907282837,0.0070659999999987955
157,19,5,55993,0.055993,177.134463236476,0.0555555555555555,177.66666666666663,0.0029955164926301903,-0.007874000000001047
158,19,6,55647,0.055647,186.4053947202904,0.0555555555555555,185.66666666666669,-0.003978786644292853,-0.0016460000000011465
159,19,7,55657,0.055657,191.27301148103564,0.05555555555555548,191.66666666666669,0.002053853142422901,-0.0018260000000012155
160,19,8,55651,0.055651,195.51911016873012,0.05555555555555548,195.66666666666669,0.0007541217952464763,-0.0017180000000012186
161,19,9,55816,0.055816,197.9485452200086,0.05555555555555548,197.66666666666663,-0.0014260297808195155,-0.004688000000001358
162,19,10,55714,0.055714,197.52956169005995,0.05555555555555548,197.66666666666669,0.0006936170823275134,-0.002852000000001409
163,19,11,55489,0.055489,195.44493503216853,0.05555555555555548,195.66666666666663,0.0011332110792066086,0.0011979999999988111
164,19,12,55903,0.055903,192.54614242527234,0.05555555555555548,191.66666666666669,-0.00458856917533379,-0.006254000000001314
165,19,13,55544,0.055544,185.36950885784242,0.0555555555555555,185.66666666666663,0.001600490891333295,0.00020799999999887575
166,19,14,55311,0.055311,176.8383323389561,0.0555555555555555,177.66666666666669,0.004662294527451705,0.004401999999999018
167,19,15,55112,0.055112,167.10750834663958,0.05555555555555548,167.66666666666669,0.0033349402784916826,0.007983999999998659
168,19,16,55222,0.055222,154.84446416283365,0.05555555555555548,155.66666666666669,0.005281814799783957,0.006003999999998677
169,19,17,55346,0.055346,141.89478914465363,0.05555555555555548,141.66666666666666,-0.0016102763152021637,0.0037719999999986653
170,19,18,55934,0.055934,125.9567883577073,0.05555555555555548,125.66666666666669,-0.0023086606714106672,-0.0068120000000013725
171,20,1,52720,0.05272,139.09814112291352,0.05263157894736835,139.0,-0.0007060512439820421,-0.001680000000001458
172,20,2,52447,0.052447,155.2651247926478,0.05263157894736835,156.0,0.004710738508667878,0.0035069999999985946
173,20,3,52355,0.052355,171.16877089103238,0.05263157894736835,171.0,-0.0009869642750430785,0.005254999999998677
174,20,4,52848,0.052848,184.1243188010899,0.05263157894736835,184.00000000000003,-0.0006756456580971903,-0.004112000000001448
175,20,5,52356,0.052356,194.42428756971503,0.05263157894736835,195.00000000000009,0.002952371437359269,0.005235999999998686
176,20,6,52519,0.052519,203.57455397094384,0.05263157894736835,204.0,0.0020855197502752665,0.0021389999999985587
177,20,7,52835,0.052835,211.690981357055,0.05263157894736835,211.0,-0.003274793161398115,-0.0038650000000013396
178,20,8,52785,0.052785,216.22021407596856,0.052631578947368335,216.0,-0.00101950961096553,-0.0029150000000015552
179,20,9,52687,0.052687,218.9765407026401,0.052631578947368335,219.00000000000009,0.00010712007926927392,-0.001053000000001525
180,20,10,52729,0.052729,219.17658214644692,0.052631578947368335,220.00000000000003,0.0037428084252414395,-0.0018510000000016014
181,20,11,52747,0.052747,218.81424535992568,0.052631578947368335,219.0,0.0008481947035356985,-0.002193000000001666
182,20,12,52957,0.052957,216.12062616840078,0.052631578947368335,216.00000000000009,-0.000558454483336579,-0.006183000000001604
183,20,13,52916,0.052916,210.66274850706782,0.05263157894736835,211.00000000000003,0.001598348307735642,-0.005404000000001297
184,20,14,52486,0.052486,203.97424074991426,0.05263157894736835,204.00000000000003,0.00012627083375382764,0.002765999999998714
185,20,15,52538,0.052538,194.53329018995774,0.05263157894736835,195.0,0.002393383641242308,0.001777999999998614
186,20,16,52442,0.052442,183.68231570115557,0.05263157894736835,184.00000000000009,0.0017265451024158773,0.003601999999998551
187,20,17,52388,0.052388,170.43605405818127,0.05263157894736835,171.0,0.0032979294843200613,0.004627999999998633
188,20,18,52335,0.052335,155.33960064966084,0.05263157894736835,156.0,0.004233329168840783,0.005634999999998613
189,20,19,52910,0.05291,139.21353241353242,0.05263157894736835,139.0,-0.0015362044139022313,-0.005290000000001349
